"","b_ecer","b_echr","b_hcer","b_hchr","v1_ecer","v1_echr","v1_hcer","v1_hchr","sdv1","v0_ecer","v0_echr","v0_hcer","v0_hchr","t0"
"35",2.13654869564578,2.34131328975759,2.01514539776808,2.42800376998841,4.87500654107501,3.51595721177338,4.01852939368759,3.4454518265314,0.973925824945584,1.96031089769721,3.27772723964342,2.29416181173633,3.26008739690727,0.100989087609036
"36",1.31584515774801,1.47135377531751,1.08449984156814,1.66228496089362,3.19558889820512,3.14377730420876,2.27395809310435,2.90061960103713,0.737735748753735,0.976960890910593,1.13518317291783,0.856928069764983,1.60359516839644,0.100911085857401
"37",1.34348634007025,1.55050131057898,0.908222546769651,1.23393265255682,4.1344787497579,3.66100753928859,2.66937629203774,3.02009359944536,0.970002939860293,2.00466803630056,3.27342046694076,2.17057872743508,2.41689407447788,0.100880679962334
"40",0.987254863195558,1.00272081711313,1.03037742444409,1.0621418261072,2.78269969614612,2.74672257992281,2.70228849179035,2.76638835182924,0.961035802395381,0.927935358410999,1.32806681029346,1.40957077625818,1.4157607580943,0.10098746620629
"41",1.95998442584639,2.01995297163115,1.6364459568794,2.39751757244504,4.44078129229464,3.07665420846976,3.56700429301418,3.08153287979733,0.879822240701638,2.08269410360018,2.55109344399999,1.34053081369998,2.70050072164156,0.10098839297981
"42",2.2267288448624,2.10310796595748,2.40749341419331,2.48353344232563,4.22788966312276,3.86169262555563,3.83125711356101,3.78478414245266,0.717075407433945,2.41329921656648,2.72005913628287,3.05609432175224,3.33984869256157,0.100955128803297
"45",0.528877686299484,0.510556461601971,0.527161302929204,0.48395470123481,1.38088687792561,1.23070272434017,1.18479034859521,1.0679860506304,0.330684819669367,-0.557166010187672,-0.707943040801129,-0.658416866271428,-0.664717899017042,0.100835383029246
"46",1.68291865648629,1.77883547301596,1.28997134686527,1.63502095552795,4.37499942113772,3.80128496627743,2.85916961700251,3.04608003892188,0.943720088071676,2.34061878854398,2.24606391941175,2.10091059632007,2.63939885661072,0.100971266663508
"47",1.85249757457061,2.7605035792424,1.71200328139201,2.12161579762674,4.4616826382704,4.45074645208754,3.73611583548224,3.51741358478678,1.00834145478189,2.80356576849643,4.01124092956049,2.62075703418795,3.25318206032296,0.100962045260666
"48",1.49481086470185,1.48458966108644,1.48312384851724,1.48358313925401,3.75021228072933,3.43255583438843,3.3310098747712,3.07478035391064,0.703208421612154,1.92656931564066,1.94613895613438,2.09850452109322,2.03470342455585,0.100981614688461
"49",1.83927922866965,1.78139128922161,1.42404020708019,1.57227541280239,4.71659793465492,3.80571235265972,3.62211626181898,3.27751222984402,0.703379538323861,2.04508842660006,1.89834514045291,1.35680338714417,1.92723594792092,0.100971950306579
"50",1.50986485741968,1.63233176517807,1.12291264613982,1.27745167029528,3.84604731187557,3.28112582229292,2.69902505521791,2.77635124496258,0.653566461663673,1.38111737411595,2.04846357783104,1.75274663437381,2.08110515668872,0.100947226469419
"51",3.3152952674288,3.3045462439624,3.67403780107556,3.68225982339951,5.76510822803245,5.75133915766727,4.86202869304064,4.99074967173062,1.13509956087599,3.62242792167858,3.8623994118203,4.45090111798805,4.32131062246961,0.100990227224751
"53",2.3115478526331,2.26896581357528,2.4490262906675,2.11490934582475,5.56800257347732,5.2088222327416,4.86440022181649,4.0378303253583,1.32582641769225,3.18809295954944,2.8719530290953,3.67960151608395,3.3497817966591,0.100932867373852
"54",2.76656319618252,2.90311299087593,2.80865288149839,3.58080794153566,6.01422675101429,5.32961993161983,4.81983114941451,5.34784411945066,0.848460415537086,3.56817543108633,3.55327920103527,3.47511094045169,4.32111715010512,0.100997153263986
